generation,formula,region,alpha_id,sharpe,fitness,turnover,returns,prod_correlation,margin_or_sub_sharpe,sub_universe_sharpe,robust_sharpe,ladder_year_2_sharpe,status,passed_count,is_genius,origin,sharpe_test,fitness_test,turnover_min_test,turnover_max_test,weight_test,sub_sharpe_test,challenge_test
0,"alpha=ts_rank(mdl110_score,400)+ts_rank(rel_val_buyback_yield_component_score_3*adv20,252);group_neutralize(rank(ts_backfill(alpha,600))+ts_rank(-returns,252),subindustry);",ASI,leljWMaO,3.59,1.77,0.2317,0.0563,1.0,0.000486,0.0,0.0,0.0,FAIL,7,FAIL,seed,PASS,PASS,PASS,PASS,PASS,PASS,FAIL
0,"alpha=ts_rank(imb5_score,400)+ts_rank(rel_val_buyback_yield_component_score_3,252);group_neutralize(rank(ts_backfill(alpha,600))+ts_rank(-returns,252),subindustry);",ASI,d50jZG82,4.15,2.18,0.2281,0.0632,1.0,0.000554,0.0,0.0,0.0,FAIL,7,FAIL,seed,PASS,PASS,PASS,PASS,PASS,PASS,FAIL
1,"ts_decay_linear(alpha=ts_rank(imb5_score,400)+ts_rank(rel_val_buyback_yield_component_score_3,252);group_neutralize(rank(ts_backfill(alpha,600))+ts_rank(-returns,252),subindustry);, 20)",ASI,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,FAIL,0,FAIL,evolved,FAIL,FAIL,FAIL,FAIL,FAIL,FAIL,FAIL
1,"alpha=ts_rank(imb5_score,400)+ts_rank(rel_val_buyback_yield_component_score_3, 504);group_neutralize(rank(ts_backfill(alpha,600))+ts_rank(-returns,252),subindustry);",ASI,akn77Jo5,4.07,2.14,0.2255,0.0626,1.0,0.000555,0.0,0.0,0.0,FAIL,7,FAIL,evolved,PASS,PASS,PASS,PASS,PASS,PASS,FAIL
1,"ts_decay_linear(alpha=ts_rank(imb5_score,400)+ts_rank(rel_val_buyback_yield_component_score_3,252);group_neutralize(rank(ts_backfill(alpha,600))+ts_rank(-returns,252),subindustry);, 10)",ASI,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,FAIL,0,FAIL,evolved,FAIL,FAIL,FAIL,FAIL,FAIL,FAIL,FAIL
1,"alpha=ts_rank(imb5_score,400)+ts_rank(rel_val_buyback_yield_component_score_3,252);group_neutralize(scale(ts_backfill(alpha,600))+ts_rank(-returns,252),subindustry);",ASI,d50jjZ0E,3.34,1.17,0.6782,0.0827,0.8,0.000244,0.0,0.0,0.0,FAIL,6,FAIL,evolved,PASS,PASS,PASS,PASS,PASS,PASS,FAIL
1,"alpha=ts_rank(imb5_score,400)+ts_rank(rel_val_buyback_yield_component_score_3, 126);group_neutralize(rank(ts_backfill(alpha,600))+ts_rank(-returns,252),subindustry);",ASI,P0377zWL,4.26,2.24,0.2344,0.0646,1.0,0.000551,0.0,0.0,0.0,FAIL,7,FAIL,evolved,PASS,PASS,PASS,PASS,PASS,PASS,FAIL
1,"alpha=ts_rank(operating_expense,400)+ts_rank(rel_val_buyback_yield_component_score_3,252);group_neutralize(rank(ts_backfill(alpha,600))+ts_rank(-returns,252),subindustry);",ASI,e70zzG7O,2.64,1.15,0.2236,0.0421,0.7,0.000377,0.0,0.0,0.0,FAIL,7,FAIL,evolved,PASS,PASS,PASS,PASS,PASS,PASS,FAIL
